"Property Address","Parcel Number","Inspection Date","Grade","License Status","Expiration Date","Latitude","Longitude","georeference"
"710 Church Street","912,108,305,017","2014 Mar 19 12:00:00 AM","Class B","Issued","10/14/2026","40.1186","-88.2167","POINT (-88.2167 40.1186)"
"706 Church Street","912,108,305,019","2014 Mar 19 12:00:00 AM","Class C","Issued","10/14/2026","40.1186","-88.2163","POINT (-88.2163 40.1186)"
"704 West Church Street","912,108,305,020","2022 Jan 06 12:00:00 AM","Class B","Issued","10/14/2026","40.11858141","-88.21613767","POINT (-88.21613767 40.11858141)"
"704 Church Street","912,108,305,020","2014 Mar 19 12:00:00 AM","Class C","Issued","10/14/2026","40.1186","-88.2161","POINT (-88.2161 40.1186)"
"701 North Coler Avenue","912,108,305,021","2014 Feb 12 12:00:00 AM","Class B","Issued","10/14/2026","40.1186","-88.2159","POINT (-88.2159 40.1186)"
"810 North Coler Avenue","912,108,308,001","2022 Jan 06 12:00:00 AM","Class B","Issued","10/14/2026","40.11993502","-88.21537535","POINT (-88.21537535 40.11993502)"
"810 North Coler Avenue","912,108,308,001","2014 Mar 19 12:00:00 AM","Class B","Issued","10/14/2026","40.1199","-88.2154","POINT (-88.2154 40.1199)"
"806 North Coler Avenue","912,108,308,002","2014 Mar 20 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.1198","-88.2154","POINT (-88.2154 40.1198)"
"804 North Coler Avenue","912,108,308,003","2014 Mar 20 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.1196","-88.2154","POINT (-88.2154 40.1196)"
"802 North Coler Avenue","912,108,308,004","2014 Mar 26 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.1194","-88.2154","POINT (-88.2154 40.1194)"
"710 North Coler Avenue","912,108,308,006","2022 Jan 07 12:00:00 AM","Class C","Issued","10/14/2026","40.11912917","-88.21536431","POINT (-88.21536431 40.11912917)"
"710 North Coler Avenue","912,108,308,006","2014 Mar 20 12:00:00 AM","Class B","Issued","10/14/2026","40.1191","-88.2154","POINT (-88.2154 40.1191)"
"708 North Coler Avenue","912,108,308,007","2014 Apr 09 12:00:00 AM","Class B","Issued",,"40.119","-88.2154","POINT (-88.2154 40.119)"
"706 North Coler Avenue","912,108,308,008","2023 Mar 03 12:00:00 AM","Class B","Issued","10/14/2026","40.11880688","-88.21535943","POINT (-88.21535943 40.11880688)"
"706 North Coler Avenue","912,108,308,008","2010 Aug 03 12:00:00 AM","Class B","Issued",,"40.1188","-88.2154","POINT (-88.2154 40.1188)"
"704 North Coler Avenue","912,108,308,009","2014 Apr 09 12:00:00 AM","Class B","Issued",,"40.1186","-88.2154","POINT (-88.2154 40.1186)"
"702 North Coler Avenue","912,108,308,010","2022 Jan 07 12:00:00 AM","Class B","Temporarily Not a Rental","10/14/2024","40.11848515","-88.21539952","POINT (-88.21539952 40.11848515)"
"601 West Fairview Avenue","912,108,308,011","2022 Jan 13 12:00:00 AM","Class B","Issued","10/14/2026","40.11993834","-88.21484246","POINT (-88.21484246 40.11993834)"
"601 Fairview Avenue","912,108,308,011","2014 Apr 16 12:00:00 AM","Class B","Issued",,"40.1199","-88.215","POINT (-88.215 40.1199)"
"805 North Orchard Street","912,108,308,013","2014 Apr 09 12:00:00 AM","Class B","Issued",,"40.1196","-88.2148","POINT (-88.2148 40.1196)"
"803 North Orchard Street","912,108,308,014","2022 Jan 05 12:00:00 AM","Class B","Issued","10/14/2026","40.11945374","-88.2148339","POINT (-88.2148339 40.11945374)"
"803 North Orchard Street","912,108,308,014","2014 Apr 09 12:00:00 AM","Class B","Issued",,"40.1194","-88.2147","POINT (-88.2147 40.1194)"
"801 North Orchard Street","912,108,308,015","2022 Jan 05 12:00:00 AM","Class B","Issued","10/14/2026","40.1192923","-88.21483101","POINT (-88.21483101 40.1192923)"
"801 North Orchard Street","912,108,308,015","2014 Apr 16 12:00:00 AM","Class B","Issued",,"40.1193","-88.2148","POINT (-88.2148 40.1193)"
"707 North Orchard Street","912,108,308,017","2022 Jan 05 12:00:00 AM","Class B","Issued","10/14/2026","40.11896941","-88.21482523","POINT (-88.21482523 40.11896941)"
"707 North Orchard Street","912,108,308,017","2014 Apr 09 12:00:00 AM","Class B","Issued",,"40.119","-88.2148","POINT (-88.2148 40.119)"
"411 West Park Street","912,108,328,002","2011 Mar 28 12:00:00 AM","Class B","Expired","10/14/2026","40.1171","-88.2123","POINT (-88.2123 40.1171)"
"405 West Park Street","912,108,328,005","2008 Jun 20 12:00:00 AM","Class B","Expired","10/14/2026","40.1172","-88.2115","POINT (-88.2115 40.1172)"
"403 West Park Street","912,108,328,006","2008 Jun 20 12:00:00 AM","Class B","Expired",,"40.1172","-88.2113","POINT (-88.2113 40.1172)"
"403 West Park Street","912,108,328,006","2025 Oct 27 12:00:00 AM","Class B","Issued","10/14/2026","40.11715382","-88.21130886","POINT (-88.21130886 40.11715382)"
"401 West Park Street","912,108,328,007","2008 Jun 20 12:00:00 AM","Class A","Expired","10/14/2026","40.1172","-88.2111","POINT (-88.2111 40.1172)"
"305 West Park Street","912,108,329,001","2008 Jun 20 12:00:00 AM","Class B","Expired",,"40.1172","-88.2105","POINT (-88.2105 40.1172)"
"305 West Park Street","912,108,329,001","2025 Oct 13 12:00:00 AM","Class B","Issued","10/14/2026","40.11715531","-88.21054346","POINT (-88.21054346 40.11715531)"
"301 West Park Street","912,108,329,006","2025 Oct 01 12:00:00 AM","Class B","Issued","10/14/2026","40.11715798","-88.2101561","POINT (-88.2101561 40.11715798)"
"814 Clark Street","912,108,352,006","2010 Aug 24 12:00:00 AM","Class B","Issued",,"40.1157","-88.219","POINT (-88.219 40.1157)"
"812 Clark Street","912,108,352,007","2010 Aug 24 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1157","-88.2188","POINT (-88.2188 40.1157)"
"810 Clark Street","912,108,352,008","2010 Aug 24 12:00:00 AM","Class B","Issued","10/14/2026","40.1157","-88.2186","POINT (-88.2186 40.1157)"
"808 Clark Street","912,108,352,009","2008 May 29 12:00:00 AM","Class B","Issued","10/14/2026","40.1157","-88.2184","POINT (-88.2184 40.1157)"
"806 Clark Street","912,108,352,010","2010 Aug 24 12:00:00 AM","Class B","Issued",,"40.1157","-88.2181","POINT (-88.2181 40.1157)"
"804 Clark Street","912,108,352,011","2011 May 17 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1157","-88.2179","POINT (-88.2179 40.1157)"
"410 North Lincoln Avenue Apt 2513","912,108,352,013","2022 Oct 10 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.115967","-88.219055","POINT (-88.219055 40.115967)"
"308 North Lincoln Avenue","912,108,353,001","2011 May 18 12:00:00 AM","Class B","Issued",,"40.1153","-88.2191","POINT (-88.2191 40.1153)"
"819 West Clark Street","912,108,353,001","2021 Dec 20 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.11528227","-88.21911452","POINT (-88.21911452 40.11528227)"
"813 Clark Street","912,108,353,005","2011 May 17 12:00:00 AM","Class B","Issued","10/14/2026","40.1152","-88.2189","POINT (-88.2189 40.1152)"
"811 Clark Street","912,108,353,006","2011 May 17 12:00:00 AM","Class B","Issued",,"40.1153","-88.2186","POINT (-88.2186 40.1153)"
"809 Clark Street","912,108,353,007","2011 May 17 12:00:00 AM","Class B","Issued","10/14/2026","40.1153","-88.2185","POINT (-88.2185 40.1153)"
"817 West Clark Street","912,108,353,007","2021 Dec 20 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.11518444","-88.21849157","POINT (-88.21849157 40.11518444)"
"814 West Main Street","912,108,353,013","2022 Feb 09 12:00:00 AM","Class B","Issued","10/14/2026","40.11480194","-88.21887128","POINT (-88.21887128 40.11480194)"
"814 West Main Street","912,108,353,013","2010 Oct 19 12:00:00 AM","Class B","Issued","10/14/2026","40.1148","-88.2189","POINT (-88.2189 40.1148)"
"812 West Main Street","912,108,353,014","2011 Mar 24 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.1148","-88.2187","POINT (-88.2187 40.1148)"
"812 West Main Street","912,108,353,014","2025 Oct 22 12:00:00 AM","Class B","Issued","10/14/2026","40.11479498","-88.21866683","POINT (-88.21866683 40.11479498)"
"802 West Main Street","912,108,353,020","2010 Oct 18 12:00:00 AM","Class B","Expired",,"40.1147","-88.2176","POINT (-88.2176 40.1147)"
"309 North Busey Avenue","912,108,353,021","2022 Feb 22 12:00:00 AM","Class C","Issued","10/14/2026","40.11523211","-88.2177528","POINT (-88.2177528 40.11523211)"
"309 North Busey Avenue","912,108,353,021","2008 May 22 12:00:00 AM","Class B","Issued","10/14/2026","40.1152","-88.2176","POINT (-88.2176 40.1152)"
"811 West Main Street","912,108,354,002","2022 Mar 02 12:00:00 AM","Class B","Issued","10/14/2026","40.11421149","-88.21887782","POINT (-88.21887782 40.11421149)"
"811 West Main Street","912,108,354,002","2011 May 18 12:00:00 AM","Class A","Issued","10/14/2026","40.1142","-88.2188","POINT (-88.2188 40.1142)"
"809 West Main Street","912,108,354,003","2022 Mar 02 12:00:00 AM","Class B","Issued","10/14/2026","40.11419018","-88.21865428","POINT (-88.21865428 40.11419018)"
"809 West Main Street","912,108,354,003","2011 May 18 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.1142","-88.2187","POINT (-88.2187 40.1142)"
"807 1/2 West Main Street","912,108,354,004","2022 Mar 02 12:00:00 AM","Class B","Issued","10/14/2026","40.11416566","-88.21848114","POINT (-88.21848114 40.11416566)"
"807 1/2 West Main Street","912,108,354,004","2011 May 18 12:00:00 AM","Class A","Issued",,"0.0","0.0","POINT (0 0)"
"812 Stoughton Street","912,108,354,011","2010 Aug 17 12:00:00 AM","Class B","Issued","10/14/2026","40.1138","-88.2189","POINT (-88.2189 40.1138)"
"810 Stoughton Street","912,108,354,012","2010 Oct 12 12:00:00 AM","Class B","Issued",,"40.1138","-88.2187","POINT (-88.2187 40.1138)"
"806 Stoughton Street","912,108,354,016","2010 Aug 12 12:00:00 AM","Class C","Issued",,"40.1137","-88.2183","POINT (-88.2183 40.1137)"
"205 North Busey Avenue","912,108,354,017","2008 Jun 03 12:00:00 AM","Class B","Issued","10/14/2026","40.1138","-88.2179","POINT (-88.2179 40.1138)"
"205 North Busey Avenue","912,108,354,017","2021 Dec 16 12:00:00 AM","Class B","Issued","10/14/2026","40.11379066","-88.21789671","POINT (-88.21789671 40.11379066)"
"803 West Main Street","912,108,354,020","2022 Jan 25 12:00:00 AM","Class B","Issued","10/14/2026","40.11406714","-88.21790432","POINT (-88.21790432 40.11406714)"
"204 North Lincoln Avenue","912,108,354,022","2010 Aug 06 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.114","-88.2191","POINT (-88.2191 40.114)"
"805 West Stoughton Street","912,108,355,004","2021 Dec 09 12:00:00 AM","Class B","Temporarily Not a Rental","10/14/2024","40.11325273","-88.21842305","POINT (-88.21842305 40.11325273)"
"808 West Springfield Avenue","912,108,355,007","2022 Apr 19 12:00:00 AM","Class C","Issued","10/14/2026","40.11301942","-88.21870237","POINT (-88.21870237 40.11301942)"
"808 Springfield Avenue","912,108,355,007","2008 Jul 07 12:00:00 AM","Class B","Issued",,"40.113","-88.2187","POINT (-88.2187 40.113)"
"808 West Springfield Avenue","912,108,355,007","2025 Oct 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11301942","-88.21870237","POINT (-88.21870237 40.11301942)"
"806 West Springfield Avenue","912,108,355,008","2025 Oct 23 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11300611","-88.21847528","POINT (-88.21847528 40.11300611)"
"806 West Springfield Avenue","912,108,355,008","2021 Dec 10 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.11300611","-88.21847528","POINT (-88.21847528 40.11300611)"
"804 West Springfield Avenue","912,108,355,009","2018 Feb 05 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11299295","-88.2182741","POINT (-88.2182741 40.11299295)"
"801 Stoughton Street Unit B","912,108,355,011","2013 Apr 18 12:00:00 AM","Class B","Issued",,"40.1134","-88.2177","POINT (-88.2177 40.1134)"
"801 West Stoughton Street Unit B","912,108,355,011","2021 Dec 16 12:00:00 AM","Class B","Issued","10/14/2026","40.11323435","-88.21811661","POINT (-88.21811661 40.11323435)"
"801 Stoughton Street Unit A","912,108,355,012","2013 Apr 18 12:00:00 AM","Class B","Issued","10/14/2026","40.1134","-88.2177","POINT (-88.2177 40.1134)"
"801 West Stoughton Street Unit A","912,108,355,012","2021 Dec 16 12:00:00 AM","Class B","Issued","10/14/2026","40.11322644","-88.21806189","POINT (-88.21806189 40.11322644)"
"802 West Springfield Avenue Unit B","912,108,355,013","2021 Dec 14 12:00:00 AM","Class B","Issued","10/14/2026","40.11298331","-88.21812241","POINT (-88.21812241 40.11298331)"
"802 West Springfield Avenue","912,108,355,014","2021 Dec 14 12:00:00 AM","Class C","Issued","10/14/2026","40.11298303","-88.21806674","POINT (-88.21806674 40.11298303)"
"107 North Busey Avenue Unit A","912,108,355,016","2022 Jan 13 12:00:00 AM","Class C","Issued","10/14/2026","40.1130637","-88.21798041","POINT (-88.21798041 40.1130637)"
"107 North Busey Avenue Unit A","912,108,355,016","2010 Nov 02 12:00:00 AM","Class B","Issued","10/14/2026","40.1125","-88.2178","POINT (-88.2178 40.1125)"
"107 North Busey Avenue Unit B","912,108,355,017","2022 Jan 13 12:00:00 AM","Class C","Issued","10/14/2026","40.11310553","-88.21796946","POINT (-88.21796946 40.11310553)"
"107 North Busey Avenue Unit B","912,108,355,017","2011 May 11 12:00:00 AM","Class B","Issued",,"40.1125","-88.2178","POINT (-88.2178 40.1125)"
"109 North Busey Avenue Unit A","912,108,355,018","2021 Dec 10 12:00:00 AM","Class A","Issued","10/14/2026","40.11314872","-88.21795802","POINT (-88.21795802 40.11314872)"
"109 North Busey Avenue Unit B","912,108,355,019","2010 Nov 02 12:00:00 AM","Class B","Issued","10/14/2026","40.1126","-88.2178","POINT (-88.2178 40.1126)"
"109 North Busey Avenue Unit B","912,108,355,019","2021 Dec 10 12:00:00 AM","Class B","Issued","10/14/2026","40.11318978","-88.21794739","POINT (-88.21794739 40.11318978)"
"104 North Lincoln Avenue","912,108,355,020","2008 Jun 04 12:00:00 AM","Class B","Expired","10/14/2026","40.113","-88.219","POINT (-88.219 40.113)"
"104 North Lincoln Avenue","912,108,355,020","2021 Dec 07 12:00:00 AM","Class B","Issued","10/14/2026","40.11321218","-88.21892811","POINT (-88.21892811 40.11321218)"
"709 West Main Street","912,108,359,002","2022 Apr 11 12:00:00 AM","Class C","Issued","10/14/2026","40.11395822","-88.21702077","POINT (-88.21702077 40.11395822)"
"709 West Main Street","912,108,359,002","2025 Oct 22 12:00:00 AM","Class B","Issued","10/14/2026","40.11395822","-88.21702077","POINT (-88.21702077 40.11395822)"
"209 North Coler Avenue","912,108,359,005","2025 Sep 30 12:00:00 AM","Class B","Issued","10/14/2026","40.11383661","-88.21614314","POINT (-88.21614314 40.11383661)"
"712 Stoughton Street","912,108,359,007","2010 Nov 02 12:00:00 AM","Class C","Issued","10/14/2026","40.1135","-88.2174","POINT (-88.2174 40.1135)"
"710 Stoughton Street","912,108,359,008","2010 Nov 17 12:00:00 AM","Class B","Issued",,"40.1136","-88.2172","POINT (-88.2172 40.1136)"
"710 West Stoughton Street","912,108,359,008","2021 Dec 22 12:00:00 AM","Class B","Issued","10/14/2026","40.11358542","-88.21716775","POINT (-88.21716775 40.11358542)"
"704 Stoughton Street","912,108,359,012","2008 May 19 12:00:00 AM","Class B","Issued",,"40.1135","-88.2166","POINT (-88.2166 40.1135)"
"704 West Stoughton Street","912,108,359,012","2022 Jun 09 12:00:00 AM","Class C","Issued","10/14/2026","40.11345631","-88.2165941","POINT (-88.2165941 40.11345631)"
"704 West Stoughton Street","912,108,359,012","2025 Sep 30 12:00:00 AM","Class B","Issued","10/14/2026","40.11345631","-88.2165941","POINT (-88.2165941 40.11345631)"
"205 North Coler Avenue","912,108,359,013","2022 Apr 14 12:00:00 AM","Class B","Issued","10/14/2026","40.11358822","-88.21620139","POINT (-88.21620139 40.11358822)"
"205 North Coler Avenue","912,108,359,013","2010 Nov 01 12:00:00 AM","Class B","Issued","10/14/2026","40.1136","-88.2162","POINT (-88.2162 40.1136)"
"203 North Coler Avenue","912,108,359,014","2010 Nov 10 12:00:00 AM","Class B","Issued","10/14/2026","40.1134","-88.2162","POINT (-88.2162 40.1134)"
"705 West Main Street","912,108,359,016","2018 May 02 12:00:00 AM","Class B","Issued","10/14/2026","40.1138352","-88.21650593","POINT (-88.21650593 40.1138352)"
"705 West Main Street","912,108,359,016","2022 Jun 09 12:00:00 AM","Class B","Issued","10/14/2026","40.1138352","-88.21650593","POINT (-88.21650593 40.1138352)"
"705 West Main Street","912,108,359,016","2008 Sep 19 12:00:00 AM","Class B","Issued",,"40.1138","-88.2165","POINT (-88.2165 40.1138)"
"711 West Main Street","912,108,359,017","2022 Feb 22 12:00:00 AM","Class B","Issued","10/14/2026","40.11388785","-88.21727822","POINT (-88.21727822 40.11388785)"
"711 West Main Street","912,108,359,017","2008 Jun 17 12:00:00 AM","Class B","Issued","10/14/2026","40.1139","-88.2173","POINT (-88.2173 40.1139)"
"108 L North Busey Avenue","912,108,360,001","2010 Oct 12 12:00:00 AM","Class C","Expired",,"0.0","0.0","POINT (0 0)"
"709 Stoughton Street","912,108,360,002","2010 Oct 12 12:00:00 AM","Class C","Expired",,"40.1131","-88.2172","POINT (-88.2172 40.1131)"
"707 West Stoughton Street","912,108,360,003","2025 Sep 11 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11309452","-88.21698282","POINT (-88.21698282 40.11309452)"
"707 West Stoughton Street","912,108,360,003","2021 Dec 22 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11309452","-88.21698282","POINT (-88.21698282 40.11309452)"
"106 North Busey Avenue","912,108,360,004","2008 Jun 18 12:00:00 AM","Class B","Expired","10/14/2026","40.113","-88.2174","POINT (-88.2174 40.113)"
"708 Springfield Avenue","912,108,360,005","2010 Oct 27 12:00:00 AM","Class C","Expired",,"40.1129","-88.217","POINT (-88.217 40.1129)"
"705 Stoughton Street","912,108,360,006","2008 May 22 12:00:00 AM","Class B","Issued","10/14/2026","40.113","-88.2168","POINT (-88.2168 40.113)"
"703 Stoughton Street","912,108,360,007","2011 Jan 21 12:00:00 AM","Class B","Issued","10/14/2026","40.113","-88.2166","POINT (-88.2166 40.113)"
"105 North Coler Avenue","912,108,360,009","2010 Oct 25 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1129","-88.2163","POINT (-88.2163 40.1129)"
"310 North Coler Avenue","912,108,362,004","2017 May 25 12:00:00 AM","Class C","Issued","10/14/2026","40.11494744","-88.2154603","POINT (-88.2154603 40.11494744)"
"310 North Coler Avenue","912,108,362,004","2017 May 25 12:00:00 AM","Class C","Issued","10/14/2026","40.11494744","-88.2154603","POINT (-88.2154603 40.11494744)"
"304 North Coler Avenue","912,108,362,007","2011 Feb 04 12:00:00 AM","Class B","Issued",,"40.1146","-88.2156","POINT (-88.2156 40.1146)"
"304 North Coler Avenue","912,108,362,007","2021 Dec 23 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.11456287","-88.21557493","POINT (-88.21557493 40.11456287)"
"315 North Orchard Street","912,108,362,008","2008 Jun 02 12:00:00 AM","Class B","Issued",,"40.1148","-88.215","POINT (-88.215 40.1148)"
"315 North Orchard Street","912,108,362,008","2025 Sep 10 12:00:00 AM","Class B","Issued","10/14/2026","40.11484057","-88.21504189","POINT (-88.21504189 40.11484057)"
"315 North Orchard Street","912,108,362,008","2021 Dec 29 12:00:00 AM","Class B","Issued","10/14/2026","40.11484057","-88.21504189","POINT (-88.21504189 40.11484057)"
"606 West Main Street","912,108,362,011","2022 Jan 19 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.11438303","-88.21539666","POINT (-88.21539666 40.11438303)"
"604 West Main Street","912,108,362,012","2022 Jan 14 12:00:00 AM","Class B","Issued","10/14/2026","40.11430137","-88.21518439","POINT (-88.21518439 40.11430137)"
"604 West Main Street","912,108,362,012","2008 Jun 16 12:00:00 AM","Class B","Issued","10/14/2026","40.1143","-88.2152","POINT (-88.2152 40.1143)"
"609 West Main Street","912,108,363,001","2022 Apr 14 12:00:00 AM","Class B","Issued","10/14/2026","40.11373856","-88.21550572","POINT (-88.21550572 40.11373856)"
"609 West Main Street","912,108,363,001","2008 Jun 03 12:00:00 AM","Class B","Issued",,"40.1137","-88.2155","POINT (-88.2155 40.1137)"
"509 West Main Street","912,108,363,005","2008 Jun 03 12:00:00 AM","Class B","Issued","10/14/2026","40.1135","-88.2142","POINT (-88.2142 40.1135)"
"509 West Main Street","912,108,363,005","2025 Oct 01 12:00:00 AM","Class B","Issued","10/14/2026","40.11355","-88.21423","POINT (-88.21423 40.11355)"
"501 West Main Street","912,108,363,009","2022 Jan 19 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11334865","-88.21343516","POINT (-88.21343516 40.11334865)"
"203 North McCullough Street","912,108,363,009","2008 Jun 19 12:00:00 AM","Class B","Issued","10/14/2026","40.1133","-88.2132","POINT (-88.2132 40.1133)"
"202 North Coler Avenue","912,108,363,010","2022 May 25 12:00:00 AM","Class B","Issued","10/14/2026","40.1133771","-88.21571002","POINT (-88.21571002 40.1133771)"
"202 North Coler Avenue","912,108,363,010","2025 Sep 16 12:00:00 AM","Class B","Issued","10/14/2026","40.1133771","-88.21571002","POINT (-88.21571002 40.1133771)"
"610 West Stoughton Street","912,108,363,011","2022 Jan 27 12:00:00 AM","Class B","Issued","10/14/2026","40.113346","-88.21548","POINT (-88.21548 40.113346)"
"610 Stoughton Street","912,108,363,011","2008 May 14 12:00:00 AM","Class B","Issued",,"40.1133","-88.2155","POINT (-88.2155 40.1133)"
"508 West Stoughton Street","912,108,363,018","2022 Mar 10 12:00:00 AM","Class B","Issued","10/14/2026","40.11316","-88.21424","POINT (-88.21424 40.11316)"
"508 Stoughton Street","912,108,363,018","2008 Apr 29 12:00:00 AM","Class B","Issued","10/14/2026","40.1132","-88.2143","POINT (-88.2143 40.1132)"
"506 West Stoughton Street","912,108,363,019","2022 Mar 09 12:00:00 AM","Class B","Issued","10/14/2026","40.11313","-88.214","POINT (-88.214 40.11313)"
"506 Stoughton Street","912,108,363,019","2008 Apr 29 12:00:00 AM","Class B","Issued","10/14/2026","40.1131","-88.214","POINT (-88.214 40.1131)"
"506 West Stoughton Street","912,108,363,019","2025 Oct 30 12:00:00 AM","Class B","Issued","10/14/2026","40.11313","-88.214","POINT (-88.214 40.11313)"
"504 Stoughton Street","912,108,363,020","2010 Oct 25 12:00:00 AM","Class B","Contract Sale",,"40.1131","-88.2138","POINT (-88.2138 40.1131)"
"604 West Stoughton Street","912,108,363,025","2022 Jan 27 12:00:00 AM","Class B","Issued","10/14/2026","40.113247","-88.21486","POINT (-88.21486 40.113247)"
"604 Stoughton Street","912,108,363,025","2008 May 14 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1132","-88.215","POINT (-88.215 40.1132)"
"611 Stoughton Street","912,108,364,002","2010 Oct 27 12:00:00 AM","Class C","Issued",,"40.1129","-88.2156","POINT (-88.2156 40.1129)"
"302 North Orchard Street","912,108,377,004","2021 Aug 05 12:00:00 AM","Class A","Issued","10/14/2026","40.11474223","-88.21448373","POINT (-88.21448373 40.11474223)"
"302 North Orchard Street","912,108,377,004","2025 Sep 15 12:00:00 AM","Class B","Issued","10/14/2026","40.11474223","-88.21448373","POINT (-88.21448373 40.11474223)"
"512 Griggs Street","912,108,377,005","2010 Aug 04 12:00:00 AM","Class A","Pending Renewal","10/14/2025","40.1147","-88.2142","POINT (-88.2142 40.1147)"
"512 West Griggs Street","912,108,377,005","2021 Aug 05 12:00:00 AM","Class B","Issued","10/14/2026","40.11473543","-88.21424362","POINT (-88.21424362 40.11473543)"
"510 Griggs Street","912,108,377,006","2010 Aug 04 12:00:00 AM","Class A","Issued",,"40.1148","-88.214","POINT (-88.214 40.1148)"
"510 West Griggs Street","912,108,377,006","2021 Aug 05 12:00:00 AM","Class A","Issued","10/14/2026","40.11474619","-88.21400551","POINT (-88.21400551 40.11474619)"
"508 Griggs Street","912,108,377,007","2007 Jul 06 12:00:00 AM","Class B","Issued",,"40.1148","-88.2138","POINT (-88.2138 40.1148)"
"508 West Griggs Street","912,108,377,007","2021 Sep 30 12:00:00 AM","Class B","Issued","10/14/2026","40.11483485","-88.21377344","POINT (-88.21377344 40.11483485)"
"508 West Griggs Street","912,108,377,007","2025 Oct 21 12:00:00 AM","Class B","Issued","10/14/2026","40.11483485","-88.21377344","POINT (-88.21377344 40.11483485)"
"506 Griggs Street","912,108,377,008","2007 Jul 06 12:00:00 AM","Class B","Issued",,"40.1148","-88.2135","POINT (-88.2135 40.1148)"
"506 West Griggs Street","912,108,377,008","2025 Oct 21 12:00:00 AM","Class B","Issued","10/14/2026","40.11480529","-88.21353139","POINT (-88.21353139 40.11480529)"
"502 Griggs Street","912,108,377,009","2007 Aug 30 12:00:00 AM","Class B","Issued",,"40.1147","-88.2131","POINT (-88.2131 40.1147)"
"502 West Griggs Street","912,108,377,009","2025 Sep 23 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11474545","-88.21310691","POINT (-88.21310691 40.11474545)"
"502 West Griggs Street","912,108,377,009","2021 Oct 14 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.11474545","-88.21310691","POINT (-88.21310691 40.11474545)"
"308 North Orchard Street","912,108,377,016","2007 Jun 25 12:00:00 AM","Class B","Issued","10/14/2026","40.115","-88.2144","POINT (-88.2144 40.115)"
"308 North Orchard Street","912,108,377,016","2021 Sep 03 12:00:00 AM","Class B","Issued","10/14/2026","40.11500666","-88.21437343","POINT (-88.21437343 40.11500666)"
"502 West Main Street","912,108,378,004","2007 Aug 29 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.1141","-88.2132","POINT (-88.2132 40.1141)"
"502 West Main Street","912,108,378,004","2025 Sep 22 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11406047","-88.21321039","POINT (-88.21321039 40.11406047)"
"502 West Main Street","912,108,378,004","2025 Sep 23 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11406047","-88.21321039","POINT (-88.21321039 40.11406047)"
"502 West Main Street","912,108,378,004","2021 Oct 14 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.11406047","-88.21321039","POINT (-88.21321039 40.11406047)"
"502 West Main Street","912,108,378,004","2021 Oct 14 12:00:00 AM","Class C","Pending Renewal","10/14/2025","40.11406047","-88.21321039","POINT (-88.21321039 40.11406047)"
"502 West Main Street","912,108,378,004","2021 Oct 14 12:00:00 AM","Class B","Pending Renewal","10/14/2025","40.11406047","-88.21321039","POINT (-88.21321039 40.11406047)"
"409 West Griggs Street","912,108,380,002","2021 Aug 11 12:00:00 AM","Class B","Issued","10/14/2026","40.11430849","-88.21218401","POINT (-88.21218401 40.11430849)"
"211 Central Avenue","912,108,380,008","2007 Jul 06 12:00:00 AM","Class B","Issued",,"40.1135","-88.2114","POINT (-88.2114 40.1135)"
"211 North Central Avenue","912,108,380,008","2021 Aug 24 12:00:00 AM","Class B","Issued","10/14/2026","40.11412809","-88.21183349","POINT (-88.21183349 40.11412809)"
"209 Central Avenue","912,108,380,009","2007 Jun 28 12:00:00 AM","Class B","Issued","10/14/2026","40.1135","-88.2114","POINT (-88.2114 40.1135)"
"406 West Main Street","912,108,380,014","2007 Jul 06 12:00:00 AM","Class B","Issued","10/14/2026","40.1135","-88.2122","POINT (-88.2122 40.1135)"
"419 West Main Street","912,108,381,001","2007 Aug 01 12:00:00 AM","Class B","Issued","10/14/2026","40.1131","-88.213","POINT (-88.213 40.1131)"
